ID;Level;Word;Pinyin;Normalized;Meaning;Sentence;Sentence_Pinyin;Sentence_Normalized;Sentence_Meaning;Category
L7-0488;Advanced;耻辱;chǐrǔ;chiru;shame;耻辱改变了我的生活方式。;chǐ rǔ gǎi biàn le wǒ de shēng huó fāng shì 。;chi ru gai bian le wo de sheng huo fang shi 。;shame changed my way of life.;Daily
L7-0489;Advanced;耻笑;chǐxiào;chixiao;shame;这个耻笑在日常生活中很有用。;zhè ge chǐ xiào zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge chi xiao zai ri chang sheng huo zhong hen you yong 。;this shame is very useful in daily life.;Daily
L7-0490;Advanced;赤字;chìzì;chizi;deficit;赤字是我们经常用到的东西。;chì zì shì wǒ men jīng cháng yòng dào de dōng xī 。;chi zi shi wo men jing chang yong dao de dong xi 。;deficit is something we often use.;Daily
L7-0491;Advanced;翅膀;chìbǎng;chibang;wing;请把翅膀递给我。;qǐng bǎ chì bǎng dì gěi wǒ 。;qing ba chi bang di gei wo 。;please pass me the wing.;Daily
L7-0492;Advanced;冲刺;chōngcì;chongci;sprint;冲刺让人印象深刻。;chōng cì ràng rén yìn xiàng shēn kè 。;chong ci rang ren yin xiang shen ke 。;sprint is very impressive.;Daily
L7-0493;Advanced;冲浪;chōnglàng;chonglang;surfing;我觉得冲浪非常重要。;wǒ jué de chōng làng fēi cháng zhòng yào 。;wo jue de chong lang fei chang zhong yao 。;i think surfing is very important.;Daily
L7-0494;Advanced;冲洗;chōngxǐ;chongxi;rinse;冲洗的时候要注意安全。;chōng xǐ de shí hòu yào zhù yì ān quán 。;chong xi de shi hou yao zhu yi an quan 。;be careful when rinse.;Daily
L7-0495;Advanced;冲撞;chōngzhuàng;chongzhuang;collision;你知道冲撞的意思吗？;nǐ zhī dào chōng zhuàng de yì si ma ？;ni zhi dao chong zhuang de yi si ma ？;do you know the meaning of collision?;Daily
L7-0496;Advanced;充;chōng;chong;charge;充改变了我的生活方式。;chōng gǎi biàn le wǒ de shēng huó fāng shì 。;chong gai bian le wo de sheng huo fang shi 。;charge changed my way of life.;Daily
L7-0497;Advanced;充当;chōngdāng;chongdang;full of;这个充当在日常生活中很有用。;zhè ge chōng dāng zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge chong dang zai ri chang sheng huo zhong hen you yong 。;this full of is very useful in daily life.;Daily
L7-0498;Advanced;充沛;chōngpèi;chongpei;abundant;充沛是我们经常用到的东西。;chōng pèi shì wǒ men jīng cháng yòng dào de dōng xī 。;chong pei shi wo men jing chang yong dao de dong xi 。;abundant is something we often use.;Daily
L7-0499;Advanced;充实;chōngshí;chongshi;fulfilling;我们应该多去充实检查身体。;wǒ men yīng gāi duō qù chōng shí jiǎn chá shēn tǐ 。;wo men ying gai duo qu chong shi jian cha shen ti 。;we should go to fulfilling more often for check-ups.;Health
L7-0500;Advanced;重播;chóngbō;chongbo;replay;重播的时候要专心。;chóng bō de shí hòu yào zhuān xīn 。;chong bo de shi hou yao zhuan xin 。;pay attention when replay.;Activity
L7-0501;Advanced;重叠;chóngdié;chongdie;overlap;我觉得重叠非常重要。;wǒ jué de chóng dié fēi cháng zhòng yào 。;wo jue de chong die fei chang zhong yao 。;i think overlap is very important.;Daily
L7-0502;Advanced;重返;chóngfǎn;chongfan;return;重返的时候要注意安全。;chóng fǎn de shí hòu yào zhù yì ān quán 。;chong fan de shi hou yao zhu yi an quan 。;be careful when return.;Daily
L7-0503;Advanced;重合;chónghé;chonghe;coincide;你知道重合的意思吗？;nǐ zhī dào chóng hé de yì si ma ？;ni zhi dao chong he de yi si ma ？;do you know the meaning of coincide?;Daily
L7-0504;Advanced;重申;chóngshēn;chongshen;reiterate;重申改变了我的生活方式。;chóng shēn gǎi biàn le wǒ de shēng huó fāng shì 。;chong shen gai bian le wo de sheng huo fang shi 。;reiterate changed my way of life.;Daily
L7-0505;Advanced;重现;chóngxiàn;chongxian;reproduce;这个重现在日常生活中很有用。;zhè ge chóng xiàn zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge chong xian zai ri chang sheng huo zhong hen you yong 。;this reproduce is very useful in daily life.;Daily
L7-0506;Advanced;崇高;chónggāo;chonggao;sublime;崇高是我们经常用到的东西。;chóng gāo shì wǒ men jīng cháng yòng dào de dōng xī 。;chong gao shi wo men jing chang yong dao de dong xi 。;sublime is something we often use.;Daily
L7-0507;Advanced;崇尚;chóngshàng;chongshang;advocate;请把崇尚递给我。;qǐng bǎ chóng shàng dì gěi wǒ 。;qing ba chong shang di gei wo 。;please pass me the advocate.;Daily
L7-0508;Advanced;宠;chǒng;chong;pampering;宠让人印象深刻。;chǒng ràng rén yìn xiàng shēn kè 。;chong rang ren yin xiang shen ke 。;pampering is very impressive.;Daily
L7-0509;Advanced;宠爱;chǒng'ài;chong'ai;pampering;我觉得宠爱非常重要。;wǒ jué de chǒng ài fēi cháng zhòng yào 。;wo jue de chong ai fei chang zhong yao 。;i think pampering is very important.;Daily
L7-0510;Advanced;抽签;chōuqiān;chouqian;drawing lots;抽签完了告诉我一声。;chōu qiān wán le gào sù wǒ yī shēng 。;chou qian wan le gao su wo yi sheng 。;tell me after you finish drawing lots.;Activity
L7-0511;Advanced;抽屉;chōuti;chouti;drawer;我正在抽屉，请稍等一下。;wǒ zhèng zài chōu tì ， qǐng shāo děng yí xià 。;wo zheng zai chou ti ， qing shao deng yi xia 。;i am drawer, please wait a moment.;Activity
L7-0512;Advanced;抽象;chōuxiàng;chouxiang;abstract;抽象改变了我的生活方式。;chōu xiàng gǎi biàn le wǒ de shēng huó fāng shì 。;chou xiang gai bian le wo de sheng huo fang shi 。;abstract changed my way of life.;Daily
L7-0513;Advanced;仇;chóu;chou;hatred;她今天穿得很仇。;tā jīn tiān chuān dé hěn chóu 。;ta jin tian chuan de hen chou 。;she is dressed very hatred today.;Appearance
L7-0514;Advanced;仇恨;chóuhèn;chouhen;hatred;这件仇恨真好看。;zhè jiàn chóu hèn zhēn hǎo kàn 。;zhe jian chou hen zhen hao kan 。;this hatred looks really nice.;Appearance
L7-0515;Advanced;仇人;chóurén;chouren;enemy;请把仇人递给我。;qǐng bǎ chóu rén dì gěi wǒ 。;qing ba chou ren di gei wo 。;please pass me the enemy.;Daily
L7-0516;Advanced;稠;chóu;chou;thick;稠让人印象深刻。;chóu ràng rén yìn xiàng shēn kè 。;chou rang ren yin xiang shen ke 。;thick is very impressive.;Daily
L7-0517;Advanced;稠密;chóumì;choumi;dense;我觉得稠密非常重要。;wǒ jué de chóu mì fēi cháng zhòng yào 。;wo jue de chou mi fei chang zhong yao 。;i think dense is very important.;Daily
L7-0518;Advanced;愁眉苦脸;chóuméi-kǔliǎn;choumei-kulian;frowning;愁眉苦脸的时候要注意安全。;chóu méi kǔ liǎn de shí hòu yào zhù yì ān quán 。;chou mei ku lian de shi hou yao zhu yi an quan 。;be careful when frowning.;Daily
L7-0519;Advanced;筹;chóu;chou;fundraising;我正在筹，请稍等一下。;wǒ zhèng zài chóu ， qǐng shāo děng yí xià 。;wo zheng zai chou ， qing shao deng yi xia 。;i am fundraising, please wait a moment.;Activity
L7-0520;Advanced;筹办;chóubàn;chouban;preparation;筹办改变了我的生活方式。;chóu bàn gǎi biàn le wǒ de shēng huó fāng shì 。;chou ban gai bian le wo de sheng huo fang shi 。;preparation changed my way of life.;Daily
L7-0521;Advanced;筹备;chóubèi;choubei;preparation;这个筹备在日常生活中很有用。;zhè ge chóu bèi zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge chou bei zai ri chang sheng huo zhong hen you yong 。;this preparation is very useful in daily life.;Daily
L7-0522;Advanced;筹措;chóucuò;choucuo;fundraising;他每天早上都筹措。;tā měi tiān zǎo shàng dōu chóu cuò 。;ta mei tian zao shang dou chou cuo 。;he fundraising every morning.;Activity
L7-0523;Advanced;筹划;chóuhuà;chouhua;planning;请把筹划递给我。;qǐng bǎ chóu huà dì gěi wǒ 。;qing ba chou hua di gei wo 。;please pass me the planning.;Daily
L7-0524;Advanced;筹集;chóují;chouji;fundraising;筹集的时候要专心。;chóu jí de shí hòu yào zhuān xīn 。;chou ji de shi hou yao zhuan xin 。;pay attention when fundraising.;Activity
L7-0525;Advanced;筹码;chóumǎ;chouma;chips;我觉得筹码非常重要。;wǒ jué de chóu mǎ fēi cháng zhòng yào 。;wo jue de chou ma fei chang zhong yao 。;i think chips is very important.;Daily
L7-0526;Advanced;丑恶;chǒu'è;chou'e;ugly;请把丑恶洗干净。;qǐng bǎ chǒu è xǐ gān jìng 。;qing ba chou e xi gan jing 。;please wash the ugly clean.;Appearance
L7-0527;Advanced;丑陋;chǒulòu;choulou;ugly;丑陋放在衣柜的最上面。;chǒu lòu fàng zài yī guì de zuì shàng miàn 。;chou lou fang zai yi gui de zui shang mian 。;the ugly is placed at the top of the wardrobe.;Appearance
L7-0528;Advanced;丑闻;chǒuwén;chouwen;scandal;丑闻改变了我的生活方式。;chǒu wén gǎi biàn le wǒ de shēng huó fāng shì 。;chou wen gai bian le wo de sheng huo fang shi 。;scandal changed my way of life.;Daily
L7-0529;Advanced;瞅;chǒu;chou;look;这个瞅在日常生活中很有用。;zhè ge chǒu zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge chou zai ri chang sheng huo zhong hen you yong 。;this look is very useful in daily life.;Daily
L7-0530;Advanced;出版社;chūbǎnshè;chubanshe;publishing house;我给出版社买了一件礼物。;wǒ gěi chū bǎn shè mǎi le yī jiàn lǐ wù 。;wo gei chu ban she mai le yi jian li wu 。;i bought a gift for my publishing house.;Family
L7-0531;Advanced;出厂;chūchǎng;chuchang;factory;请把出厂递给我。;qǐng bǎ chū chǎng dì gěi wǒ 。;qing ba chu chang di gei wo 。;please pass me the factory.;Daily
L7-0532;Advanced;出丑;chūchǒu;chuchou;embarrassment;出丑让人印象深刻。;chū chǒu ràng rén yìn xiàng shēn kè 。;chu chou rang ren yin xiang shen ke 。;embarrassment is very impressive.;Daily
L7-0533;Advanced;出道;chūdào;chudao;debut;我觉得出道非常重要。;wǒ jué de chū dào fēi cháng zhòng yào 。;wo jue de chu dao fei chang zhong yao 。;i think debut is very important.;Daily
L7-0534;Advanced;出发点;chūfādiǎn;chufadian;starting point;出发点的时候要注意安全。;chū fā diǎn de shí hòu yào zhù yì ān quán 。;chu fa dian de shi hou yao zhu yi an quan 。;be careful when starting point.;Daily
L7-0535;Advanced;出风头;chū fēngtou;chu fengtou;showing off;你知道出风头的意思吗？;nǐ zhī dào chū fēng tou de yì si ma ？;ni zhi dao chu feng tou de yi si ma ？;do you know the meaning of showing off?;Daily
L7-0536;Advanced;出境;chūjìng;chujing;departure;出境改变了我的生活方式。;chū jìng gǎi biàn le wǒ de shēng huó fāng shì 。;chu jing gai bian le wo de sheng huo fang shi 。;departure changed my way of life.;Daily
L7-0537;Advanced;出局;chūjú;chuju;eliminated;这个出局在日常生活中很有用。;zhè ge chū jú zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge chu ju zai ri chang sheng huo zhong hen you yong 。;this eliminated is very useful in daily life.;Daily
L7-0538;Advanced;出具;chūjù;chuju;issue;出具是我们经常用到的东西。;chū jù shì wǒ men jīng cháng yòng dào de dōng xī 。;chu ju shi wo men jing chang yong dao de dong xi 。;issue is something we often use.;Daily
L7-0539;Advanced;出口成章;chūkǒu-chéngzhāng;chukou-chengzhang;speaking eloquently;我们一起出口成章吧！;wǒ men yì qǐ chū kǒu chéng zhāng ba ！;wo men yi qi chu kou cheng zhang ba ！;let's speaking eloquently together!;Activity
L7-0540;Advanced;出卖;chūmài;chumai;sell;我下午去出卖了。;wǒ xià wǔ qù chū mài le 。;wo xia wu qu chu mai le 。;i went to sell in the afternoon.;Shopping
L7-0541;Advanced;出毛病;chū máobìng;chu maobing;problem;我觉得出毛病非常重要。;wǒ jué de chū máo bìng fēi cháng zhòng yào 。;wo jue de chu mao bing fei chang zhong yao 。;i think problem is very important.;Daily
L7-0542;Advanced;出难题;chū nántí;chu nanti;pose a difficult question;出难题是一门很重要的技能。;chū nán tí shì yī mén hěn zhòng yào de jì néng 。;chu nan ti shi yi men hen zhong yao de ji neng 。;pose a difficult question is a very important skill.;Communication
L7-0543;Advanced;出人意料;chūrényìliào;churenyiliao;unexpected;你知道出人意料的意思吗？;nǐ zhī dào chū rén yì liào de yì si ma ？;ni zhi dao chu ren yi liao de yi si ma ？;do you know the meaning of unexpected?;Daily
L7-0544;Advanced;出任;chūrèn;churen;appointed;出任改变了我的生活方式。;chū rèn gǎi biàn le wǒ de shēng huó fāng shì 。;chu ren gai bian le wo de sheng huo fang shi 。;appointed changed my way of life.;Daily
L7-0545;Advanced;出山;chūshān;chushan;leaving the mountain;这个出山在日常生活中很有用。;zhè ge chū shān zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge chu shan zai ri chang sheng huo zhong hen you yong 。;this leaving the mountain is very useful in daily life.;Daily
L7-0546;Advanced;出身;chūshēn;chushen;origin;出身是我们经常用到的东西。;chū shēn shì wǒ men jīng cháng yòng dào de dōng xī 。;chu shen shi wo men jing chang yong dao de dong xi 。;origin is something we often use.;Daily
L7-0547;Advanced;出示;chūshì;chushi;show;请把出示递给我。;qǐng bǎ chū shì dì gěi wǒ 。;qing ba chu shi di gei wo 。;please pass me the show.;Daily
L7-0548;Advanced;出手;chūshǒu;chushou;take action;出手让人印象深刻。;chū shǒu ràng rén yìn xiàng shēn kè 。;chu shou rang ren yin xiang shen ke 。;take action is very impressive.;Daily
L7-0549;Advanced;出头;chūtóu;chutou;stand out;我觉得出头非常重要。;wǒ jué de chū tóu fēi cháng zhòng yào 。;wo jue de chu tou fei chang zhong yao 。;i think stand out is very important.;Daily
L7-0550;Advanced;出土;chūtǔ;chutu;excavated;出土的时候要注意安全。;chū tǔ de shí hòu yào zhù yì ān quán 。;chu tu de shi hou yao zhu yi an quan 。;be careful when excavated.;Daily
L7-0551;Advanced;出息;chūxi;chuxi;promises;你知道出息的意思吗？;nǐ zhī dào chū xī de yì si ma ？;ni zhi dao chu xi de yi si ma ？;do you know the meaning of promises?;Daily
L7-0552;Advanced;出血;chūxiě;chuxie;bleeding;出血改变了我的生活方式。;chū xiě gǎi biàn le wǒ de shēng huó fāng shì 。;chu xie gai bian le wo de sheng huo fang shi 。;bleeding changed my way of life.;Daily
L7-0553;Advanced;出演;chūyǎn;chuyan;starring;这个出演在日常生活中很有用。;zhè ge chū yǎn zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge chu yan zai ri chang sheng huo zhong hen you yong 。;this starring is very useful in daily life.;Daily
L7-0554;Advanced;出洋相;chū yángxiàng;chu yangxiang;making a fool of oneself;出洋相是我的幸运数字。;chū yáng xiàng shì wǒ de xìng yùn shù zì 。;chu yang xiang shi wo de xing yun shu zi 。;making a fool of oneself is my lucky number.;Number
L7-0555;Advanced;出游;chūyóu;chuyou;travel;请查一下出游的时刻表。;qǐng chá yī xià chū yóu de shí kè biǎo 。;qing cha yi xia chu you de shi ke biao 。;please check the travel schedule.;Transport
L7-0556;Advanced;出众;chūzhòng;chuzhong;outstanding;出众让人印象深刻。;chū zhòng ràng rén yìn xiàng shēn kè 。;chu zhong rang ren yin xiang shen ke 。;outstanding is very impressive.;Daily
L7-0557;Advanced;出主意;chū zhǔyi;chu zhuyi;give ideas;我觉得出主意非常重要。;wǒ jué de chū zhǔ yì fēi cháng zhòng yào 。;wo jue de chu zhu yi fei chang zhong yao 。;i think give ideas is very important.;Daily
L7-0558;Advanced;出资;chūzī;chuzi;investment;出资的时候要注意安全。;chū zī de shí hòu yào zhù yì ān quán 。;chu zi de shi hou yao zhu yi an quan 。;be careful when investment.;Daily
L7-0559;Advanced;出自;chūzì;chuzi;from;你知道出自的意思吗？;nǐ zhī dào chū zì de yì si ma ？;ni zhi dao chu zi de yi si ma ？;do you know the meaning of from?;Daily
L7-0560;Advanced;出走;chūzǒu;chuzou;run away;出走后我的精神很好。;chū zǒu hòu wǒ de jīng shén hěn hǎo 。;chu zou hou wo de jing shen hen hao 。;after run away, I feel very energetic.;Health
L7-0561;Advanced;初次;chūcì;chuci;first time;初次我要去参加考试。;chū cì wǒ yào qù cān jiā kǎo shì 。;chu ci wo yao qu can jia kao shi 。;i have to take an exam first time.;Time
L7-0562;Advanced;初衷;chūzhōng;chuzhong;original intention;初衷是我的幸运数字。;chū zhōng shì wǒ de xìng yùn shù zì 。;chu zhong shi wo de xing yun shu zi 。;original intention is my lucky number.;Number
L7-0563;Advanced;除此之外;chúcǐzhīwài;chucizhiwai;besides;请把除此之外递给我。;qǐng bǎ chú cǐ zhī wài dì gěi wǒ 。;qing ba chu ci zhi wai di gei wo 。;please pass me the besides.;Daily
L7-0564;Advanced;除去;chúqù;chuqu;remove;除去让人印象深刻。;chú qù ràng rén yìn xiàng shēn kè 。;chu qu rang ren yin xiang shen ke 。;remove is very impressive.;Daily
L7-0565;Advanced;除外;chúwài;chuwai;except;我觉得除外非常重要。;wǒ jué de chú wài fēi cháng zhòng yào 。;wo jue de chu wai fei chang zhong yao 。;i think except is very important.;Daily
L7-0566;Advanced;处方;chǔfāng;chufang;prescription;处方的时候要注意安全。;chǔ fāng de shí hòu yào zhù yì ān quán 。;chu fang de shi hou yao zhu yi an quan 。;be careful when prescription.;Daily
L7-0567;Advanced;处境;chǔjìng;chujing;situation;你知道处境的意思吗？;nǐ zhī dào chǔ jìng de yì si ma ？;ni zhi dao chu jing de yi si ma ？;do you know the meaning of situation?;Daily
L7-0568;Advanced;处置;chǔzhì;chuzhi;treatment;我想学习做处置。;wǒ xiǎng xué xí zuò chǔ zhì 。;wo xiang xue xi zuo chu zhi 。;i want to learn how to cook treatment.;Food
L7-0569;Advanced;储备;chǔbèi;chubei;storage;这个储备在日常生活中很有用。;zhè ge chǔ bèi zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge chu bei zai ri chang sheng huo zhong hen you yong 。;this storage is very useful in daily life.;Daily
L7-0570;Advanced;储蓄;chǔxù;chuxu;savings;储蓄是我们经常用到的东西。;chǔ xù shì wǒ men jīng cháng yòng dào de dōng xī 。;chu xu shi wo men jing chang yong dao de dong xi 。;savings is something we often use.;Daily
L7-0571;Advanced;触动;chùdòng;chudong;touch;请把触动递给我。;qǐng bǎ chù dòng dì gěi wǒ 。;qing ba chu dong di gei wo 。;please pass me the touch.;Daily
L7-0572;Advanced;触犯;chùfàn;chufan;offense;触犯让人印象深刻。;chù fàn ràng rén yìn xiàng shēn kè 。;chu fan rang ren yin xiang shen ke 。;offense is very impressive.;Daily
L7-0573;Advanced;触觉;chùjué;chujue;tactile sensation;我觉得触觉非常重要。;wǒ jué de chù jué fēi cháng zhòng yào 。;wo jue de chu jue fei chang zhong yao 。;i think tactile sensation is very important.;Daily
L7-0574;Advanced;触摸;chùmō;chumo;touch;触摸的时候要注意安全。;chù mō de shí hòu yào zhù yì ān quán 。;chu mo de shi hou yao zhu yi an quan 。;be careful when touch.;Daily
L7-0575;Advanced;触目惊心;chùmù-jīngxīn;chumu-jingxin;shocking;你知道触目惊心的意思吗？;nǐ zhī dào chù mù jīng xīn de yì si ma ？;ni zhi dao chu mu jing xin de yi si ma ？;do you know the meaning of shocking?;Daily
L7-0576;Advanced;揣;chuāi;chuai;surmise;揣改变了我的生活方式。;chuāi gǎi biàn le wǒ de shēng huó fāng shì 。;chuai gai bian le wo de sheng huo fang shi 。;surmise changed my way of life.;Daily
L7-0577;Advanced;揣测;chuǎicè;chuaice;speculation;这个揣测在日常生活中很有用。;zhè ge chuǎi cè zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge chuai ce zai ri chang sheng huo zhong hen you yong 。;this speculation is very useful in daily life.;Daily
L7-0578;Advanced;揣摩;chuǎimó;chuaimo;try to figure out;揣摩是我们经常用到的东西。;chuǎi mó shì wǒ men jīng cháng yòng dào de dōng xī 。;chuai mo shi wo men jing chang yong dao de dong xi 。;try to figure out is something we often use.;Daily
L7-0579;Advanced;踹;chuài;chuai;kick;请把踹递给我。;qǐng bǎ chuài dì gěi wǒ 。;qing ba chuai di gei wo 。;please pass me the kick.;Daily
L7-0580;Advanced;川流不息;chuānliú-bùxī;chuanliu-buxi;flowing continuously;川流不息让人印象深刻。;chuān liú bù xī ràng rén yìn xiàng shēn kè 。;chuan liu bu xi rang ren yin xiang shen ke 。;flowing continuously is very impressive.;Daily
L7-0581;Advanced;穿过;chuānguò;chuanguo;passed;我觉得穿过非常重要。;wǒ jué de chuān guò fēi cháng zhòng yào 。;wo jue de chuan guo fei chang zhong yao 。;i think passed is very important.;Daily
L7-0582;Advanced;穿小鞋;chuān xiǎoxié;chuan xiaoxie;wearing small shoes;请把穿小鞋洗干净。;qǐng bǎ chuān xiǎo xié xǐ gān jìng 。;qing ba chuan xiao xie xi gan jing 。;please wash the wearing small shoes clean.;Appearance
L7-0583;Advanced;穿越;chuānyuè;chuanyue;time travel;穿越你有空吗？;chuān yuè nǐ yǒu kòng ma ？;chuan yue ni you kong ma ？;are you free time travel?;Time
L7-0584;Advanced;穿着;chuānzhuó;chuanzhuo;clothing;这个穿着非常适合你。;zhè ge chuān zhe fēi cháng shì hé nǐ 。;zhe ge chuan zhe fei chang shi he ni 。;this clothing suits you very well.;Appearance
L7-0585;Advanced;传承;chuánchéng;chuancheng;inheritance;这个传承在日常生活中很有用。;zhè ge chuán chéng zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge chuan cheng zai ri chang sheng huo zhong hen you yong 。;this inheritance is very useful in daily life.;Daily
L7-0586;Advanced;传奇;chuánqí;chuanqi;legend;传奇是我们经常用到的东西。;chuán qí shì wǒ men jīng cháng yòng dào de dōng xī 。;chuan qi shi wo men jing chang yong dao de dong xi 。;legend is something we often use.;Daily
L7-0587;Advanced;传染;chuánrǎn;chuanran;infection;请把传染递给我。;qǐng bǎ chuán rǎn dì gěi wǒ 。;qing ba chuan ran di gei wo 。;please pass me the infection.;Daily
L7-0588;Advanced;传染病;chuánrǎnbìng;chuanranbing;infectious diseases;传染病让人印象深刻。;chuán rǎn bìng ràng rén yìn xiàng shēn kè 。;chuan ran bing rang ren yin xiang shen ke 。;infectious diseases is very impressive.;Daily
L7-0589;Advanced;传人;chuánrén;chuanren;successor;我觉得传人非常重要。;wǒ jué de chuán rén fēi cháng zhòng yào 。;wo jue de chuan ren fei chang zhong yao 。;i think successor is very important.;Daily
L7-0590;Advanced;传授;chuánshòu;chuanshou;transmit;传授的时候要注意安全。;chuán shòu de shí hòu yào zhù yì ān quán 。;chuan shou de shi hou yao zhu yi an quan 。;be careful when transmit.;Daily
L7-0591;Advanced;传闻;chuánwén;chuanwen;rumors;你知道传闻的意思吗？;nǐ zhī dào chuán wén de yì si ma ？;ni zhi dao chuan wen de yi si ma ？;do you know the meaning of rumors?;Daily
L7-0592;Advanced;船舶;chuánbó;chuanbo;ships;坐船舶比打车便宜多了。;zuò chuán bó bǐ dǎ chē pián yi duō le 。;zuo chuan bo bi da che pian yi duo le 。;taking the ships is much cheaper than a taxi.;Transport
L7-0593;Advanced;船桨;chuánjiǎng;chuanjiang;boat oar;这个船桨在日常生活中很有用。;zhè ge chuán jiǎng zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge chuan jiang zai ri chang sheng huo zhong hen you yong 。;this boat oar is very useful in daily life.;Daily
L7-0594;Advanced;喘;chuǎn;chuan;asthma;喘是我们经常用到的东西。;chuǎn shì wǒ men jīng cháng yòng dào de dōng xī 。;chuan shi wo men jing chang yong dao de dong xi 。;asthma is something we often use.;Daily
L7-0595;Advanced;喘息;chuǎnxī;chuanxi;respite;请把喘息递给我。;qǐng bǎ chuǎn xī dì gěi wǒ 。;qing ba chuan xi di gei wo 。;please pass me the respite.;Daily
L7-0596;Advanced;串门;chuànmén;chuanmen;visiting;串门的时候要专心。;chuàn mén de shí hòu yào zhuān xīn 。;chuan men de shi hou yao zhuan xin 。;pay attention when visiting.;Activity
L7-0597;Advanced;创伤;chuāngshāng;chuangshang;trauma;我觉得创伤非常重要。;wǒ jué de chuāng shāng fēi cháng zhòng yào 。;wo jue de chuang shang fei chang zhong yao 。;i think trauma is very important.;Daily
L7-0598;Advanced;床位;chuángwèi;chuangwei;bed;床位的时候要注意安全。;chuáng wèi de shí hòu yào zhù yì ān quán 。;chuang wei de shi hou yao zhu yi an quan 。;be careful when bed.;Daily
L7-0599;Advanced;创;chuàng;chuang;creation;创对身体有很多好处。;chuàng duì shēn tǐ yǒu hěn duō hǎo chù 。;chuang dui shen ti you hen duo hao chu 。;creation has many health benefits.;Food
L7-0600;Advanced;创始人;chuàngshǐrén;chuangshiren;founder;创始人改变了我的生活方式。;chuàng shǐ rén gǎi biàn le wǒ de shēng huó fāng shì 。;chuang shi ren gai bian le wo de sheng huo fang shi 。;founder changed my way of life.;Daily
L7-0601;Advanced;吹了;chuī le;chui le;blow;这个吹了在日常生活中很有用。;zhè ge chuī le zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge chui le zai ri chang sheng huo zhong hen you yong 。;this blow is very useful in daily life.;Daily
L7-0602;Advanced;吹牛;chuīniú;chuiniu;boast;吹牛是我们经常用到的东西。;chuī niú shì wǒ men jīng cháng yòng dào de dōng xī 。;chui niu shi wo men jing chang yong dao de dong xi 。;boast is something we often use.;Daily
L7-0603;Advanced;吹捧;chuīpěng;chuipeng;praise;请把吹捧递给我。;qǐng bǎ chuī pěng dì gěi wǒ 。;qing ba chui peng di gei wo 。;please pass me the praise.;Daily
L7-0604;Advanced;垂;chuí;chui;drooping;垂让人印象深刻。;chuí ràng rén yìn xiàng shēn kè 。;chui rang ren yin xiang shen ke 。;drooping is very impressive.;Daily
L7-0605;Advanced;垂头丧气;chuítóu-sàngqì;chuitou-sangqi;dejected;我觉得垂头丧气非常重要。;wǒ jué de chuí tóu sàng qì fēi cháng zhòng yào 。;wo jue de chui tou sang qi fei chang zhong yao 。;i think dejected is very important.;Daily
L7-0606;Advanced;捶;chuí;chui;hammer;捶的时候要注意安全。;chuí de shí hòu yào zhù yì ān quán 。;chui de shi hou yao zhu yi an quan 。;be careful when hammer.;Daily
L7-0607;Advanced;锤子;chuízi;chuizi;hammer;你知道锤子的意思吗？;nǐ zhī dào chuí zi de yì si ma ？;ni zhi dao chui zi de yi si ma ？;do you know the meaning of hammer?;Daily
L7-0608;Advanced;纯粹;chúncuì;chuncui;pure;纯粹改变了我的生活方式。;chún cuì gǎi biàn le wǒ de shēng huó fāng shì 。;chun cui gai bian le wo de sheng huo fang shi 。;pure changed my way of life.;Daily
L7-0609;Advanced;纯洁;chúnjié;chunjie;pure;这个纯洁在日常生活中很有用。;zhè ge chún jié zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge chun jie zai ri chang sheng huo zhong hen you yong 。;this pure is very useful in daily life.;Daily
L7-0610;Advanced;纯朴;chúnpǔ;chunpu;pure and simple;纯朴是我们经常用到的东西。;chún piáo shì wǒ men jīng cháng yòng dào de dōng xī 。;chun piao shi wo men jing chang yong dao de dong xi 。;pure and simple is something we often use.;Daily
L7-0611;Advanced;醇厚;chúnhòu;chunhou;mellow;请把醇厚递给我。;qǐng bǎ chún hòu dì gěi wǒ 。;qing ba chun hou di gei wo 。;please pass me the mellow.;Daily
L7-0612;Advanced;蠢;chǔn;chun;stupid;蠢让人印象深刻。;chǔn ràng rén yìn xiàng shēn kè 。;chun rang ren yin xiang shen ke 。;stupid is very impressive.;Daily
L7-0613;Advanced;戳;chuō;chuo;stamp;我觉得戳非常重要。;wǒ jué de chuō fēi cháng zhòng yào 。;wo jue de chuo fei chang zhong yao 。;i think stamp is very important.;Daily
